Time,Extension,Load,
12.9,1.5454,5.46023,
12.92,1.54736,5.50647,
12.94,1.54957,5.51977,
12.96,1.55214,5.50139,
12.98,1.55491,5.43933,
13,1.55759,5.42183,
13.02,1.55995,5.41083,
13.04,1.56206,5.40787,
13.06,1.56431,5.45601,
13.08,1.56685,5.46919,
13.1,1.5695,5.45196,
13.12,1.57208,5.44796,
13.14,1.57444,5.43823,
13.16,1.57648,5.41928,
13.18,1.57846,5.44008,
13.2,1.58073,5.4306,
13.22,1.58335,5.4677,
13.24,1.58612,5.51891,
13.26,1.58878,5.54404,
13.28,1.5911,5.52033,
13.3,1.59323,5.49619,
13.32,1.59552,5.52829,
13.34,1.59808,5.53996,
13.36,1.60071,5.52288,
13.38,1.60325,5.51911,
13.4,1.60556,5.51154,
13.42,1.60761,5.56488,
13.44,1.60964,5.60744,
13.46,1.61198,5.58575,
13.48,1.61464,5.56607,
13.5,1.61743,5.55762,
13.52,1.62004,5.54065,
13.54,1.6223,5.57703,
13.56,1.62439,5.58207,
13.58,1.62668,5.60309,
13.6,1.62924,5.62526,
13.62,1.63188,5.61746,
13.64,1.63443,5.6024,
13.66,1.63675,5.60948,
13.68,1.6388,5.65069,
13.7,1.64085,5.67895,
13.72,1.64322,5.69162,
13.74,1.6459,5.70821,
13.76,1.64865,5.70037,
13.78,1.65123,5.71048,
13.8,1.65346,5.73107,
13.82,1.65558,5.79109,
13.84,1.65794,5.83839,
13.86,1.66058,5.84636,
13.88,1.66326,5.90066,
13.9,1.66579,5.89608,
13.92,1.66803,5.89695,
13.94,1.67,5.91553,
13.96,1.67203,5.94327,
13.98,1.67441,5.91824,
14,1.67712,5.86944,
14.02,1.67991,5.79252,
14.04,1.68248,5.79152,
14.06,1.68469,5.85713,
14.08,1.68681,5.9271,
14.1,1.68919,5.97398,
14.12,1.69183,6.00506,
14.14,1.69449,5.98674,
14.16,1.69697,5.97226,
14.18,1.69915,5.95478,
14.2,1.7011,5.95263,
14.22,1.70317,5.96459,
14.24,1.70559,5.97189,
14.26,1.70832,5.95768,
14.28,1.71109,5.91324,
14.3,1.71366,5.85673,
14.32,1.71587,5.87057,
14.34,1.71799,5.85537,
14.36,1.72034,5.86732,
14.38,1.72294,5.86476,
14.4,1.72557,5.86221,
14.42,1.72807,5.89867,
14.44,1.7303,5.89418,
14.46,1.73229,5.92853,
14.48,1.73438,6.0028,
14.5,1.73683,6.02539,
14.52,1.73955,6.05328,
